StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Consent,PID,Meta_Browser,Meta_Version,Meta_Operating System,Meta_Resolution,ImportantInformation,AmazonPayment,AmazonDelay,RedCross,Disability,ssa_optout,replacementCard,annualReminderKLEW,lt_medicare,sms_disability,lt_suspension,sms_redcross,Previously_Targeted,Lost_Money,Amount_Lost,attentionCheck,surveyArm
5/13/2021 19:57,5/13/2021 19:59,Survey Preview,100,151,TRUE,5/13/2021 19:59,R_1LO1MKIupvpVZKN,preview,EN,Yes,SteveName,Chrome,90.0.4430.212,Windows NT 10.0,1366x768,Real,Fake,Real,Real,Fake,Real,Fake,Real,Fake,Real,Real,Real,"Someone claiming to be from your company (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from",Yes,7676,7,notSet
5/13/2021 21:58,5/13/2021 22:03,IP Address,100,292,TRUE,5/13/2021 22:03,R_2QfDpsBu7jdV5bG,anonymous,EN,Yes,5e6d3e1aa2fab5000bd47a97,Chrome,90.0.4430.212,Windows NT 10.0,1500x1000,Real,Real,Real,Fake,Fake,Real,Real,Real,Real,Fake,Real,Fake,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,7,notSet
5/13/2021 22:00,5/13/2021 22:05,IP Address,100,252,TRUE,5/13/2021 22:05,R_STP7kvPcMMAEoJH,anonymous,EN,Yes,5f9115299908a021dfcf4fae,Chrome,90.0.4430.100,CrOS x86_64 13816.64.0,1366x768,Real,Fake,Real,Fake,Fake,Real,Real,Fake,Real,Fake,Fake,Fake,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,7,notSet
5/13/2021 22:18,5/13/2021 22:26,IP Address,100,496,TRUE,5/13/2021 22:26,R_1jKfeQhIvn9ds89,anonymous,EN,Yes,5f6e36c7f042f033d0f97bc1,Chrome,90.0.4430.212,Windows NT 10.0,1680x1050,Real,Real,Real,Real,Fake,Real,Real,Fake,Real,Fake,Fake,Fake,Other,No,,7,notSet
5/14/2021 3:42,5/14/2021 3:47,IP Address,100,263,TRUE,5/14/2021 3:47,R_r3IYylEeCoUpmN3,anonymous,EN,Yes,5f48470cc53d3630bc4e6d9c,Chrome,90.0.4430.93,Windows NT 10.0,1920x1080,Real,Fake,Real,Real,Fake,Real,Real,Fake,Fake,Fake,Fake,Fake,Someone selling fraudulent goods or services,No,,7,notSet
5/14/2021 6:54,5/14/2021 6:58,IP Address,100,259,TRUE,5/14/2021 6:58,R_2SDBD6LQpa5lCYJ,anonymous,EN,Yes,5c4de8f726093e000134ee6e,Chrome,90.0.4430.212,Windows NT 6.1,1536x864,Real,Fake,Real,Real,Fake,Fake,Real,Fake,Fake,Fake,Fake,Real,"Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,7,notSet
5/14/2021 6:55,5/14/2021 6:59,IP Address,100,282,TRUE,5/14/2021 6:59,R_1NzGZhvJJOnHyXE,anonymous,EN,Yes,606a76fe2af44e35f147d493,Firefox,88,Windows NT 10.0,1600x900,Real,Real,Real,Fake,Fake,Real,Fake,Real,Fake,Fake,Fake,Fake,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't)",No,,7,notSet
5/14/2021 6:56,5/14/2021 7:02,IP Address,100,363,TRUE,5/14/2021 7:02,R_830SE1EotifvTeV,anonymous,EN,Yes,5f872af9e3e4870ef4d67cc3,Opera,76.0.4017.123,Windows NT 10.0,1360x768,Real,Real,Fake,Real,Fake,Real,Fake,Fake,Fake,Fake,Real,Fake,Someone otherwise claiming to be from an organization or group they weren't really from,No,,7,notSet
5/14/2021 6:56,5/14/2021 7:02,IP Address,100,371,TRUE,5/14/2021 7:02,R_3qleF2Z0eER8zvB,anonymous,EN,Yes,5ed2f70cae98302901c31d4f,Safari,14.1,Macintosh,1440x900,Real,Real,Real,Real,Fake,Real,Fake,Fake,Fake,Fake,Fake,Fake,"Someone selling fraudulent goods or services,Other",No,,7,notSet
5/14/2021 6:55,5/14/2021 7:03,IP Address,100,436,TRUE,5/14/2021 7:03,R_2xAh8ict0HLp2fI,anonymous,EN,Yes,5d6fbd3f9ba41b0018d20082,Chrome,90.0.4430.212,Windows NT 10.0,1536x864,Real,Fake,Real,Fake,Fake,Fake,Real,Real,Fake,Fake,Fake,Real,Someone selling fraudulent goods or services,No,,7,notSet
5/14/2021 6:58,5/14/2021 7:03,IP Address,100,284,TRUE,5/14/2021 7:03,R_3EoEMjyw1S7nhKI,anonymous,EN,Yes,6029acb673830e93bcc9230f,Edge,90.0.818.56,Windows NT 10.0,1360x768,Real,Fake,Real,Fake,Fake,Real,Fake,Real,Real,Fake,Fake,Real,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,7,notSet
5/14/2021 6:55,5/14/2021 7:03,IP Address,100,451,TRUE,5/14/2021 7:03,R_yIKp3XGRC53iqJz,anonymous,EN,Yes,5fc97e96984e254769a3331c,Chrome,90.0.4430.93,Macintosh,1280x800,Fake,Fake,Real,Real,Fake,Real,Fake,Real,Fake,Fake,Fake,Real,Someone claiming to be from the IRS (but wasn't),No,,7,notSet
5/14/2021 6:58,5/14/2021 7:04,IP Address,100,353,TRUE,5/14/2021 7:04,R_3fwSs0wmawvN7a9,anonymous,EN,Yes,5ea716ca0f570b098f14e459,Safari,14.0.3,Macintosh,768x1024,Real,Real,Real,Real,Fake,Fake,Real,Fake,Fake,Fake,Fake,Real,"Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,7,notSet
5/14/2021 7:02,5/14/2021 7:05,IP Address,100,233,TRUE,5/14/2021 7:05,R_32W94DW1gmYJMnw,anonymous,EN,Yes,5e531b2205acdb33c0f5f24c,Chrome,90.0.4430.212,Windows NT 10.0,1600x900,Fake,Real,Real,Fake,Fake,Real,Real,Fake,Real,Fake,Fake,Fake,"Someone claiming to be from another government agency (but wasn't),Someone selling fraudulent goods or services",No,,7,notSet
