StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,PID,Meta_Browser,Meta_Version,Meta_Operating System,Meta_Resolution,ImportantInformation,AmazonPayment,AmazonDelay,RedCross,Disability,ssa_optout,replacementCard,annualReminderKLEW,lt_medicare,sms_disability,lt_suspension,sms_redcross,Previously_Targeted,Lost_Money,Amount_Lost,attentionCheck,surveyArm
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you consent to this research study?,What is your Prolific Id? (Required for payment),Click to write the question text - Browser,Click to write the question text - Version,Click to write the question text - Operating System,Click to write the question text - Resolution,Is the following message real or fake? (+1 point for each correct answer),Is the following message real or fake? (+1 for correct answer),Is the following message real or fake?,Is the following message real or fake?,Is the following message real or fake?,Is the following message real or fake?,Is the following message real or fake?,Is the following message real or fraudulent?,Is the following letter real or fake?,Is the following text message real or fake?,Is the following letter real or fake?,Is the following text message real or fake?,"Have you previously been targeted by any of the following scammers? This could from a person at your door, a call, an email, or any other means.",Did you lose money from any of the scammers you listed above?,"Roughly how much did you lose, in total, across all of the scams?",What's 4 + 3?,surveyArm
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID37""}","{""ImportId"":""QID42_TEXT""}","{""ImportId"":""QID52_BROWSER""}","{""ImportId"":""QID52_VERSION""}","{""ImportId"":""QID52_OS""}","{""ImportId"":""QID52_RESOLUTION""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID50""}","{""ImportId"":""QID19""}","{""ImportId"":""QID48""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID62""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72_TEXT""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""surveyArm""}"
2021-05-13 19:57:12,2021-05-13 19:59:43,Survey Preview,,100,151,True,2021-05-13 19:59:44,R_1LO1MKIupvpVZKN,,,,,27.8256988525390625,-82.13739776611328125,preview,EN,Yes,SteveName,Chrome,90.0.4430.212,Windows NT 10.0,1366x768,Real,Fake,Real,Real,Fake,Real,Fake,Real,Fake,Real,Real,Real,"Someone claiming to be from your company (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from",Yes,7676,7,notSet
2021-05-13 21:58:19,2021-05-13 22:03:12,IP Address,69.47.54.185,100,292,True,2021-05-13 22:03:12,R_2QfDpsBu7jdV5bG,,,,,41.7322998046875,-88.12819671630859375,anonymous,EN,Yes,5e6d3e1aa2fab5000bd47a97,Chrome,90.0.4430.212,Windows NT 10.0,1500x1000,Real,Real,Real,Fake,Fake,Real,Real,Real,Real,Fake,Real,Fake,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,7,notSet
2021-05-13 22:00:49,2021-05-13 22:05:02,IP Address,69.14.103.219,100,252,True,2021-05-13 22:05:02,R_STP7kvPcMMAEoJH,,,,,42.231597900390625,-83.265899658203125,anonymous,EN,Yes,5f9115299908a021dfcf4fae,Chrome,90.0.4430.100,CrOS x86_64 13816.64.0,1366x768,Real,Fake,Real,Fake,Fake,Real,Real,Fake,Real,Fake,Fake,Fake,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,7,notSet
2021-05-13 22:18:08,2021-05-13 22:26:24,IP Address,216.41.135.71,100,496,True,2021-05-13 22:26:25,R_1jKfeQhIvn9ds89,,,,,36.2024993896484375,-91.75530242919921875,anonymous,EN,Yes,5f6e36c7f042f033d0f97bc1,Chrome,90.0.4430.212,Windows NT 10.0,1680x1050,Real,Real,Real,Real,Fake,Real,Real,Fake,Real,Fake,Fake,Fake,Other,No,,7,notSet
2021-05-14 03:42:53,2021-05-14 03:47:17,IP Address,184.102.198.143,100,263,True,2021-05-14 03:47:17,R_r3IYylEeCoUpmN3,,,,,41.07110595703125,-74.80680084228515625,anonymous,EN,Yes,5f48470cc53d3630bc4e6d9c,Chrome,90.0.4430.93,Windows NT 10.0,1920x1080,Real,Fake,Real,Real,Fake,Real,Real,Fake,Fake,Fake,Fake,Fake,Someone selling fraudulent goods or services,No,,7,notSet
2021-05-14 06:54:02,2021-05-14 06:58:21,IP Address,68.179.240.85,100,259,True,2021-05-14 06:58:22,R_2SDBD6LQpa5lCYJ,,,,,35.60650634765625,-92.274200439453125,anonymous,EN,Yes,5c4de8f726093e000134ee6e,Chrome,90.0.4430.212,Windows NT 6.1,1536x864,Real,Fake,Real,Real,Fake,Fake,Real,Fake,Fake,Fake,Fake,Real,"Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,7,notSet
2021-05-14 06:55:05,2021-05-14 06:59:47,IP Address,98.213.190.92,100,282,True,2021-05-14 06:59:47,R_1NzGZhvJJOnHyXE,,,,,42.2577972412109375,-89.02610015869140625,anonymous,EN,Yes,606a76fe2af44e35f147d493,Firefox,88.0,Windows NT 10.0,1600x900,Real,Real,Real,Fake,Fake,Real,Fake,Real,Fake,Fake,Fake,Fake,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't)",No,,7,notSet
2021-05-14 06:56:17,2021-05-14 07:02:20,IP Address,68.22.248.221,100,363,True,2021-05-14 07:02:20,R_830SE1EotifvTeV,,,,,29.9199981689453125,-95.5612030029296875,anonymous,EN,Yes,5f872af9e3e4870ef4d67cc3,Opera,76.0.4017.123,Windows NT 10.0,1360x768,Real,Real,Fake,Real,Fake,Real,Fake,Fake,Fake,Fake,Real,Fake,Someone otherwise claiming to be from an organization or group they weren't really from,No,,7,notSet
