StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,DistributionChannel,UserLanguage,Consent,PID,Meta_Browser,Meta_Version,Meta_Operating System,Meta_Resolution,ImportantInformation,AmazonPayment,AmazonDelay,RedCross,Disability,ssa_optout,replacementCard,annualReminderKLEW,lt_medicare,sms_disability,lt_suspension,sms_redcross,Previously_Targeted,Lost_Money,Amount_Lost,attentionCheck,surveyArm
5/13/2021 21:58,5/13/2021 22:03,IP Address,100,292,TRUE,5/13/2021 22:03,R_2QfDpsBu7jdV5bG,,anonymous,EN,Yes,5e6d3e1aa2fab5000bd47a97,Chrome,90.0.4430.212,Windows NT 10.0,1500x1000,Real,Real,Real,Fake,Fake,Real,Real,Real,Real,Fake,Real,Fake,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,7,notSet
5/13/2021 22:00,5/13/2021 22:05,IP Address,100,252,TRUE,5/13/2021 22:05,R_STP7kvPcMMAEoJH,,anonymous,EN,Yes,5f9115299908a021dfcf4fae,Chrome,90.0.4430.100,CrOS x86_64 13816.64.0,1366x768,Real,Fake,Real,Fake,Fake,Real,Real,Fake,Real,Fake,Fake,Fake,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,7,notSet
5/13/2021 22:18,5/13/2021 22:26,IP Address,100,496,TRUE,5/13/2021 22:26,R_1jKfeQhIvn9ds89,,anonymous,EN,Yes,5f6e36c7f042f033d0f97bc1,Chrome,90.0.4430.212,Windows NT 10.0,1680x1050,Real,Real,Real,Real,Fake,Real,Real,Fake,Real,Fake,Fake,Fake,Other,No,,7,notSet
5/14/2021 3:42,5/14/2021 3:47,IP Address,100,263,TRUE,5/14/2021 3:47,R_r3IYylEeCoUpmN3,,anonymous,EN,Yes,5f48470cc53d3630bc4e6d9c,Chrome,90.0.4430.93,Windows NT 10.0,1920x1080,Real,Fake,Real,Real,Fake,Real,Real,Fake,Fake,Fake,Fake,Fake,Someone selling fraudulent goods or services,No,,7,notSet
5/14/2021 6:54,5/14/2021 6:58,IP Address,100,259,TRUE,5/14/2021 6:58,R_2SDBD6LQpa5lCYJ,,anonymous,EN,Yes,5c4de8f726093e000134ee6e,Chrome,90.0.4430.212,Windows NT 6.1,1536x864,Real,Fake,Real,Real,Fake,Fake,Real,Fake,Fake,Fake,Fake,Real,"Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,7,notSet
5/14/2021 6:54,5/14/2021 7:13,IP Address,100,1145,TRUE,5/14/2021 7:13,R_sebOhORMEfbCXAJ,,anonymous,EN,Yes,5e4a0a67110b3747ea173d60,Firefox,88,Windows NT 10.0,1280x720,Real,Real,Real,Fake,Fake,Real,Real,Real,Real,Fake,Fake,Real,"Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from",No,,7,notSet
5/14/2021 6:55,5/14/2021 7:13,IP Address,100,1080,TRUE,5/14/2021 7:13,R_27P77ucap3Yv4mH,,anonymous,EN,Yes,5e84f020507cd30b367b2624,Chrome,90.0.4430.93,Windows NT 6.1,1366x768,Real,Fake,Real,Fake,Fake,Real,Real,Real,Real,Fake,Fake,Real,"Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from",No,,7,notSet
5/14/2021 6:55,5/14/2021 6:59,IP Address,100,282,TRUE,5/14/2021 6:59,R_1NzGZhvJJOnHyXE,,anonymous,EN,Yes,606a76fe2af44e35f147d493,Firefox,88,Windows NT 10.0,1600x900,Real,Real,Real,Fake,Fake,Real,Fake,Real,Fake,Fake,Fake,Fake,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't)",No,,7,notSet
5/14/2021 6:55,5/14/2021 7:07,IP Address,100,709,TRUE,5/14/2021 7:07,R_3IZeFRAZofx0MnA,,anonymous,EN,Yes,5e1276f7e69d0a912635da16,Safari,14.1,Macintosh,768x1024,Fake,Fake,Real,Fake,Fake,Fake,Fake,Real,Fake,Fake,Fake,Real,Other,No,,7,notSet
5/14/2021 6:55,5/14/2021 7:09,IP Address,100,851,TRUE,5/14/2021 7:09,R_UR1TJ24Jv5QkAUh,,anonymous,EN,Yes,55b9a9b0fdf99b6906d2aba4,Firefox,88,Windows NT 10.0,1600x900,Real,Fake,Real,Real,Fake,Fake,Real,Fake,Fake,Fake,Fake,Real,,,,7,notSet
