session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,Ethnicity (Simplified),First Language,Nationality,Sex,Student Status
6099d0ba8bcee8aeeaee257f,6099c163b9b57ea38cf25c2a,APPROVED,2021-05-11 00:33:21.002000,2021-05-11 00:38:16.254000,295.252,20,30,0,100,2021-05-14 02:52:49.688000,3E161575,United States,,,White,,United States,Female,Yes
6099d397218028f8120de749,5fbd90a279deff1addee6b3e,APPROVED,2021-05-11 00:45:13.969000,2021-05-11 00:49:25.314000,251.345,20,15,0,100,2021-05-14 02:52:50.859000,3E161575,United States,United States,Unemployed (and job seeking),White,,United States,Female,Yes
6099d3d69e726844ab1ef2a4,5e7568eae804b60e45ffef96,APPROVED,2021-05-11 00:46:18.233000,2021-05-11 00:49:56.249000,218.016,31,79,0,100,2021-05-14 02:58:52.615000,3E161575,United States,United States,Part-Time,White,English,United States,Female,No
6099d55a6853180b9b920f85,5bc4ff222c08740001316ed2,APPROVED,2021-05-11 00:52:46.944000,2021-05-11 00:55:24.938000,157.994,42,212,4,96,2021-05-14 02:22:22.806000,3E161575,United States,United States,Full-Time,White,English,United States,Female,No
6099d56adc388b0a3aeeaa2d,5d27db3d44cdee000184f4eb,APPROVED,2021-05-11 00:53:01.176000,2021-05-11 00:55:28.850000,147.674,28,706,0,100,2021-05-14 02:17:09.246000,3E161575,United States,United States,Full-Time,White,English,United States,Male,No
6099d5f6e04d4fb84dc84f5b,5dab9bb23dd8f50015d256d5,APPROVED,2021-05-11 00:55:32.127000,2021-05-11 01:06:59.644000,687.517,47,230,1,100,2021-05-14 02:22:24.249000,3E161575,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United States,Female,No
6099d74b4d3147d1b2b17048,5fc5c8cd0ddd731579639c07,APPROVED,2021-05-11 01:01:03.989000,2021-05-11 01:04:13.034000,189.045,36,295,2,100,2021-05-14 02:41:50.192000,3E161575,United States,United States,Part-Time,White,DATA EXPIRED,United States,Male,No
6099d91b29ba966b0afe0f47,5cfea2427b91e70001423ffb,APPROVED,2021-05-11 01:08:49.059000,2021-05-11 01:21:18.235000,749.176,32,1236,0,100,2021-05-14 02:41:51.928000,3E161575,United States,United States,Full-Time,White,English,United States,Male,No
6099d9c1ccc426e18f3d612d,5f504a77d3e0341bf804cace,RETURNED,2021-05-11 01:11:35.944000,,298962.204596,56,91,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6099da7f8271988e256709ad,5d4a35d65407dc001ab30a39,APPROVED,2021-05-11 01:14:49.716000,2021-05-11 01:21:15.334000,385.618,28,383,2,100,2021-05-14 02:17:12.081000,3E161575,United States,United States,Full-Time,White,English,United States,Male,No
6099db0cdb65f13b6f5e09f7,5e66c406d101af08974ffd00,APPROVED,2021-05-11 01:17:03.517000,2021-05-11 01:19:49.016000,165.499,33,279,2,99,2021-05-14 02:58:55.244000,3E161575,United States,United States,Part-Time,White,English,United States,Female,No
6099db19fa19d95fd7df2e8c,5aa5adfc6219a30001c75471,APPROVED,2021-05-11 01:17:17.236000,2021-05-11 01:19:20.701000,123.465,31,666,14,95,2021-05-14 02:58:56.938000,3E161575,United States,United States,Full-Time,White,English,United States,Female,No
6099db4429ba966b0afe0f52,5f062516e1bf2615b803de5e,APPROVED,2021-05-11 01:18:03.570000,2021-05-11 01:22:14.439000,250.869,50,419,5,98,2021-05-14 02:37:03.987000,3E161575,United States,United States,Full-Time,White,English,United States,Female,No
6099dc8d4d8a019eb3b70ab9,5e87a7326114780ead47321f,RETURNED,2021-05-11 01:33:25.424000,,297652.751141,35,255,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
