StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent,PID,Meta_Browser,Meta_Version,Meta_Operating System,Meta_Resolution,lt_medicare,sms_disability,lt_suspension,sms_redcross,attentionCheck
6/29/2021 8:03,6/29/2021 8:08,IP Address,100,279,TRUE,6/29/2021 8:08,R_2zASPCBSkqULZp6,,,,,anonymous,EN,Yes,5746f1955e549100063b3c45,Chrome,91.0.4472.124,Windows NT 10.0,1366x768,Real,Fake,Fake,Real,7
6/29/2021 8:03,6/29/2021 8:10,IP Address,100,406,TRUE,6/29/2021 8:10,R_2aVuDqqUpxARWzF,,,,,anonymous,EN,Yes,60d20fa8369ce619a9844bb5,Safari,14.1.1,Macintosh,1280x800,Real,Fake,Fake,Real,7
6/29/2021 8:04,6/29/2021 8:11,IP Address,100,434,TRUE,6/29/2021 8:11,R_3q9VKvSYsRu1AYc,,,,,anonymous,EN,Yes,60cb3c4b9454f7a196355088,Chrome,91.0.4472.114,Windows NT 10.0,1366x768,Real,Fake,Real,Fake,7
6/29/2021 8:06,6/29/2021 8:20,IP Address,100,817,TRUE,6/29/2021 8:20,R_T4LgkrVVu3Buby9,,,,,anonymous,EN,Yes,60d10f9d6d57181601bdc4e2,Chrome,91.0.4472.124,Windows NT 6.1,1920x1080,Fake,Fake,Fake,Fake,7
6/29/2021 8:20,6/29/2021 8:28,IP Address,100,448,TRUE,6/29/2021 8:28,R_2b3i9pbL0W8Wv2G,,,,,anonymous,EN,Yes,60ae732b911084864713db46,Chrome,91.0.4472.114,Macintosh,1280x800,Fake,Fake,Real,Real,7
6/29/2021 9:25,6/29/2021 9:28,IP Address,100,165,TRUE,6/29/2021 9:28,R_3p4H3OrKl4ami0X,,,,,anonymous,EN,Yes,60d2c0afd79e86e6f5a9ad08,Firefox,89,Windows NT 10.0,1920x1080,Real,Fake,Fake,Real,7
6/29/2021 10:21,6/29/2021 10:29,IP Address,100,434,TRUE,6/29/2021 10:29,R_8e9WzeCZuzD8klX,,,,,anonymous,EN,Yes,60d36a1e527cbcc95d132d62,Chrome,91.0.4472.114,CrOS x86_64 13904.66.0,1366x768,Real,Fake,Real,Real,7
6/29/2021 10:25,6/29/2021 10:32,IP Address,100,437,TRUE,6/29/2021 10:32,R_3KGwyhYOETFpt2p,,,,,anonymous,EN,Yes,60d2586287aed6bde9dd876b,Chrome,90.0.4430.212,Macintosh,1440x900,Fake,Fake,Fake,Fake,7
6/29/2021 10:16,6/29/2021 10:37,IP Address,100,1270,TRUE,6/29/2021 10:37,R_AA4qMmD2fTB6JvX,,,,,anonymous,EN,Yes,60d29dcc8ee32f63b359d02d,Chrome,91.0.4472.114,CrOS x86_64 13904.66.0,1366x768,Real,Fake,Fake,Fake,7
6/29/2021 16:24,6/29/2021 16:31,IP Address,100,412,TRUE,6/29/2021 16:31,R_2rG76Fco81Bg7Mh,,,,,anonymous,EN,Yes,60d239e0b03a18ed7a0e337d,Chrome,90.0.4430.93,Macintosh,1920x1080,Fake,Fake,Fake,Fake,7
6/29/2021 16:53,6/29/2021 16:57,IP Address,100,258,TRUE,6/29/2021 16:57,R_3D6XqTD37NxllOG,,,,,anonymous,EN,Yes,5fe9065cb82e4635d7090e72,Chrome,91.0.4472.114,Macintosh,1440x900,Fake,Fake,Fake,Real,7
6/29/2021 16:40,6/29/2021 17:16,IP Address,100,2154,TRUE,6/29/2021 17:16,R_273cRJagJBEq2Fm,,,,,anonymous,EN,Yes,60cfa6420ffb2b8717adae78,Chrome,91.0.4472.120,Android 5.0.2,1280x800,Fake,Real,Fake,Real,7
6/29/2021 20:58,6/29/2021 21:06,IP Address,100,438,TRUE,6/29/2021 21:06,R_Q4STraToofmzETn,,,,,anonymous,EN,Yes,60d0962bdb2435c09644e57c,Chrome,89.0.4389.114,Windows NT 6.3,1366x768,Fake,Fake,Fake,Real,7
6/29/2021 7:45,6/29/2021 7:48,IP Address,92,140,FALSE,6/30/2021 7:48,R_20VxqB57rIFfEB7,,,,,anonymous,EN,Yes,SteveTest9,Chrome,91.0.4472.124,Windows NT 10.0,1366x768,Real,Fake,Real,Real,7
6/30/2021 8:31,6/30/2021 8:45,IP Address,100,823,TRUE,6/30/2021 8:45,R_zdmYs69ipWeFWVz,,,,,anonymous,EN,Yes,6005d52707eaeb8b7bc97c4c,Chrome,91.0.4472.124,Windows NT 10.0,1920x1080,Real,Fake,Fake,Fake,7
