session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
60db284284ae5d5850f98442,60d20fa8369ce619a9844bb5,APPROVED,2021-06-29 14:03:51.892000,2021-06-29 14:10:42.528000,410.636,29,169,2,99,2021-06-29 14:10:42.798000,7B074E4C,United States,United States,Full-Time,English,United States,Male,Yes
60db284480fb0f2faa233b84,5746f1955e549100063b3c45,APPROVED,2021-06-29 14:03:50.615000,2021-06-29 14:08:33.846000,283.231,37,219,0,100,2021-06-29 14:08:34.118000,7B074E4C,United States,United States,Full-Time,English,United States,Male,Yes
60db286faad3e43889b0cd07,60cb3c4b9454f7a196355088,APPROVED,2021-06-29 14:04:39.333000,2021-06-29 14:12:00.206000,440.873,34,143,0,100,2021-06-29 14:12:00.490000,7B074E4C,DATA EXPIRED,United States,DATA EXPIRED,English,United States,Male,No
60db28e73164d31ae35c579f,60d10f9d6d57181601bdc4e2,APPROVED,2021-06-29 14:06:34.564000,2021-06-29 14:20:16.855000,822.291,48,151,0,100,2021-06-29 14:20:17.166000,7B074E4C,United States,United States,Full-Time,English,United States,Female,No
60db2c435c8e1f9afe0900d0,60ae732b911084864713db46,APPROVED,2021-06-29 14:20:53.785000,2021-06-29 14:28:26.822000,453.037,26,60,1,100,2021-06-29 14:28:27.084000,7B074E4C,DATA EXPIRED,United States,Part-Time,English,United States,Female,DATA EXPIRED
60db3354d91b355b2fc50664,60ced186118ab30b686de07a,TIMED-OUT,2021-06-29 14:51:05.666000,,807240.370648,29,105,0,100,,,United States,United States,Unemployed (and job seeking),English,United States,Female,No
60db3b676500cc4b6c3e8cc3,60d2c0afd79e86e6f5a9ad08,APPROVED,2021-06-29 15:25:29.424000,2021-06-29 15:28:22.658000,173.234,32,137,1,100,2021-06-29 15:28:22.943000,7B074E4C,Germany,United States,Unemployed (and job seeking),English,United States,Male,No
60db4650ac6c371ac015dbb8,60d29dcc8ee32f63b359d02d,APPROVED,2021-06-29 16:16:12.745000,2021-06-29 16:37:30.878000,1278.133,36,192,1,100,2021-06-29 16:37:31.160000,7B074E4C,United States,United States,Part-Time,English,United States,Female,No
60db489829dc75ed5c3d129f,60d36a1e527cbcc95d132d62,APPROVED,2021-06-29 16:21:45.728000,2021-06-29 16:29:04.508000,438.78,31,137,0,100,2021-06-29 16:29:04.807000,7B074E4C,United States,United States,Full-Time,English,United States,Male,No
60db4956ccac9db62a9ec847,60d2586287aed6bde9dd876b,APPROVED,2021-06-29 16:24:59.103000,2021-06-29 16:32:20.373000,441.27,27,98,0,100,2021-06-29 16:32:20.658000,7B074E4C,United States,United States,Other,English,United States,Female,No
60db64ea28d81edb77153bb8,60d25587663e249006d9da85,RETURNED,2021-06-29 18:22:43.033000,,794543.088007,34,103,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60db805361d1a6533cd74720,60d3789eaea26baa8ff53bb8,RETURNED,2021-06-29 20:19:34.356000,,787531.781348,28,180,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60db9d84dc64321039d47409,60d239e0b03a18ed7a0e337d,APPROVED,2021-06-29 22:24:08.469000,2021-06-29 22:31:07.019000,418.55,62,75,0,100,2021-06-29 22:31:07.269000,7B074E4C,United States,United States,Part-Time,English,United States,Male,No
60dba15f29adb7061898768d,60cfa6420ffb2b8717adae78,APPROVED,2021-06-29 22:40:37.634000,2021-06-29 23:16:45.937000,2168.303,58,88,0,100,2021-06-29 23:16:46.186000,7B074E4C,United States,United States,Full-Time,English,United States,Male,No
60dba46c44b1c2be9f3c6183,5fe9065cb82e4635d7090e72,APPROVED,2021-06-29 22:53:34.196000,2021-06-29 22:57:56.070000,261.874,30,158,0,100,2021-06-29 22:57:56.337000,7B074E4C,United States,United States,Full-Time,English,United States,Female,No
60dbbbf2e078b123b59165e6,56f299dded0cf6000b9108cd,RETURNED,2021-06-30 00:34:00.434000,,772265.773678,48,1126,4,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60dbd1e6c507d0db09dad304,60cec4a17308cc774876c1cd,TIMED-OUT,2021-06-30 02:07:39.888000,,766646.622058,51,57,0,100,,,United States,United States,Unemployed (and job seeking),English,United States,Female,No
60dbd9e43bc9cd5625f5698a,60ce4bd27bd14fa42dcc393c,RETURNED,2021-06-30 02:41:44.869000,,764601.658425,35,136,3,97,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60dbddebd57ebe9179322ed4,60d0962bdb2435c09644e57c,APPROVED,2021-06-30 02:58:53.906000,2021-06-30 03:06:16.899000,442.993,28,94,1,99,2021-06-30 03:06:17.150000,7B074E4C,United States,United States,Full-Time,English,United States,Female,No
60dc8054fd27e05238154f02,6005d52707eaeb8b7bc97c4c,APPROVED,2021-06-30 14:31:50.776000,2021-06-30 14:45:40.512000,829.736,31,176,2,99,2021-06-30 14:45:40.822000,7B074E4C,United States,United States,Full-Time,English,United States,Male,No
60dc80829fa5bad28fe5c92d,5ab7e3951667e40001d7cee8,APPROVED,2021-06-30 14:32:36.974000,2021-06-30 15:36:57.719000,3860.745,26,389,1,100,2021-06-30 15:36:58.006000,7B074E4C,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
60dc9e6ebfee151214a787e0,60cb5841ba86cfbbd5d49250,RETURNED,2021-06-30 16:40:20.891000,,714285.701377,27,60,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60dca2212aaacdaf2a28a158,60cbab6e566c2725834c5c99,RETURNED,2021-06-30 16:56:06.427000,,713340.179559,30,91,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60dd1a000b1282cd76ea41a2,5ba0795124593f000174f263,APPROVED,2021-07-01 01:27:31.229000,2021-07-01 01:31:48.402000,257.173,33,719,2,100,2021-07-01 01:31:48.645000,7B074E4C,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
60ddd07e97b7fea1245e067f,60be61cacf973a6755f57b29,APPROVED,2021-07-01 14:26:12.506000,2021-07-01 14:33:32.966000,440.46,28,68,0,100,2021-07-01 14:33:33.286000,7B074E4C,United States,United States,Full-Time,English,United States,Female,DATA EXPIRED
60de622683696f4fdb568f27,5c55c0e354f9d30001db6d22,APPROVED,2021-07-02 00:47:36.322000,2021-07-02 00:53:52.327000,376.005,41,1053,1,100,2021-07-02 00:53:52.630000,7B074E4C,United States,United States,Full-Time,English,United States,DATA EXPIRED,No
