StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent,Meta_Browser,Meta_Version,Meta_Operating System,Meta_Resolution,lt_medicare,sms_disability,lt_suspension,sms_redcross,attentionCheck,psid,pid
7/9/2021 9:50,7/9/2021 9:51,IP Address,100,67,TRUE,7/9/2021 9:51,R_sARMOy8RPawloQx,,,,,anonymous,EN,Yes,Chrome,90.0.4430.210,Android 5.1.1,601x962,Fake,Fake,Fake,Real,7,J9ezj6XGQNPjrQfw7B2QVA**,1503753906
7/9/2021 9:50,7/9/2021 9:51,IP Address,100,68,TRUE,7/9/2021 9:51,R_3HjMtP8ar0bsLAm,,,,,anonymous,EN,Yes,Firefox,89,Windows NT 6.1,1024x768,Real,Real,Real,Real,7,J9ezj6XGQNPNJZPVG6mKjg**,1079490099
7/9/2021 9:51,7/9/2021 9:52,IP Address,100,48,TRUE,7/9/2021 9:52,R_2AGbygpkxsJBVXF,,,,,anonymous,EN,Yes,Chrome,91.0.4472.124,Windows NT 10.0,1366x768,Fake,Fake,Fake,Fake,7,J9ezj6XGQNOljbBnRlLZ3g**,1528110129
7/9/2021 9:52,7/9/2021 9:53,IP Address,100,34,TRUE,7/9/2021 9:53,R_WpVgO6hXlF24Vc5,,,,,anonymous,EN,Yes,Chrome,91.0.4472.124,Windows NT 10.0,1920x1080,Real,Fake,Real,Fake,7,J9ezj6XGQNPXVmlOzxaDPQ**,1502417703
7/9/2021 9:50,7/9/2021 9:54,IP Address,100,190,TRUE,7/9/2021 9:54,R_rq0DK3VgTwt6OKB,,,,,anonymous,EN,Yes,Chrome,91.0.4472.124,Windows NT 10.0,1366x768,Real,Real,Real,Real,7,J9ezj6XGQNMjLJkKMq2nsg**,1889717361
7/9/2021 9:51,7/9/2021 9:55,IP Address,100,238,TRUE,7/9/2021 9:55,R_1ooJ4Zwjeda776B,,,,,anonymous,EN,Yes,Chrome,91.0.4472.124,Windows NT 10.0,1920x1080,Fake,Fake,Fake,Fake,7,J9ezj6XGQNP5F9Co0Q0MAQ**,1183771836
7/9/2021 9:50,7/9/2021 9:55,IP Address,100,293,TRUE,7/9/2021 9:55,R_1GJbEb05MANJApH,,,,,anonymous,EN,Yes,Edge,91.0.864.64,Windows NT 10.0,1280x720,Fake,Fake,Fake,Real,7,J9ezj6XGQNNEPQUbs25YTg**,1157170321
7/9/2021 9:52,7/9/2021 9:55,IP Address,100,159,TRUE,7/9/2021 9:55,R_yJXSLbeZDKuNzxf,,,,,anonymous,EN,Yes,AppleWebKit,605.1.15,Macintosh,810x1080,Fake,Fake,Fake,Real,7,J9ezj6XGQNMuNe2nfS1bwg**,1661844433
7/9/2021 9:54,7/9/2021 9:55,IP Address,100,77,TRUE,7/9/2021 9:55,R_2Byfc8S7l63PPQT,,,,,anonymous,EN,Yes,Chrome,91.0.4472.114,Windows NT 10.0,1920x1080,Real,Real,Fake,Fake,7,J9ezj6XGQNNZ4mqgqMceMQ**,1503078846
7/9/2021 9:56,7/9/2021 9:56,IP Address,100,39,TRUE,7/9/2021 9:56,R_2zOuVYgZPWr7xA3,,,,,anonymous,EN,Yes,Chrome,91.0.4472.124,Windows NT 10.0,1536x864,Fake,Fake,Fake,Fake,7,J9ezj6XGQNMKeakijKhevg**,1504459057
7/9/2021 9:56,7/9/2021 9:58,IP Address,100,141,TRUE,7/9/2021 9:58,R_1Nt69qVQso7vM9n,,,,,anonymous,EN,Yes,Chrome,91.0.4472.124,Windows NT 10.0,1024x768,Real,Fake,Fake,Real,7,J9ezj6XGQNPS92_gWxe-nA**,1079500637
7/9/2021 9:56,7/9/2021 9:58,IP Address,100,146,TRUE,7/9/2021 9:58,R_xlJ6xMdPOqZiRj3,,,,,anonymous,EN,Yes,Chrome,91.0.4472.124,Windows NT 10.0,1920x1080,Real,Fake,Fake,Fake,7,J9ezj6XGQNPgbzsD5MKOAg**,1079470030
7/9/2021 9:57,7/9/2021 9:59,IP Address,100,75,TRUE,7/9/2021 9:59,R_87atP5P3aJxxQlz,,,,,anonymous,EN,Yes,Chrome,91.0.4472.124,Windows NT 10.0,1366x768,Real,Fake,Fake,Real,7,J9ezj6XGQNNBN-h6wRokrA**,1974972008
7/9/2021 9:56,7/9/2021 9:59,IP Address,100,173,TRUE,7/9/2021 9:59,R_3oBW716s2xjh712,,,,,anonymous,EN,Yes,Chrome,91.0.4472.124,Windows NT 10.0,1920x1080,Fake,Fake,Fake,Real,7,J9ezj6XGQNMPeNnE7YY4yw**,1504901315
7/9/2021 9:55,7/9/2021 9:59,IP Address,100,266,TRUE,7/9/2021 9:59,R_25YFmBPkxqgYi9g,,,,,anonymous,EN,Yes,Chrome,91.0.4472.124,Windows NT 10.0,1536x864,Fake,Fake,Fake,Fake,7,J9ezj6XGQNP24QSQoGDw6A**,1538111837
7/9/2021 9:56,7/9/2021 9:59,IP Address,100,210,TRUE,7/9/2021 9:59,R_32QJV2YFSJyEGhs,,,,,anonymous,EN,Yes,Safari,14.1.1,Macintosh,1440x900,Real,Fake,Real,Real,7,J9ezj6XGQNNcNvBCwLHtDA**,1471273252
7/9/2021 9:53,7/9/2021 10:00,IP Address,100,411,TRUE,7/9/2021 10:00,R_3hEEIMOOuRrWjyJ,,,,,anonymous,EN,Yes,Chrome,91.0.4472.114,Windows NT 10.0,1360x768,Real,Fake,Fake,Fake,7,J9ezj6XGQNNhEJ5loN0u9Q**,1504681948
7/9/2021 9:58,7/9/2021 10:01,IP Address,100,153,TRUE,7/9/2021 10:01,R_1NgkKImdfW4yWyp,,,,,anonymous,EN,Yes,Chrome,91.0.4472.124,Windows NT 10.0,1024x768,Real,Real,Real,Real,7,J9ezj6XGQNOYYg06jK06vw**,1710792640
7/9/2021 9:53,7/9/2021 10:01,IP Address,100,474,TRUE,7/9/2021 10:01,R_3qIDbQwOhRrVG1M,,,,,anonymous,EN,Yes,Chrome,91.0.4472.124,Windows NT 10.0,1366x768,Fake,Fake,Real,Real,7,J9ezj6XGQNNaIai0DXkkPg**,1543534664
7/9/2021 10:00,7/9/2021 10:01,IP Address,100,68,TRUE,7/9/2021 10:01,R_1eUDBa9ZwgYHwHe,,,,,anonymous,EN,Yes,Chrome,91.0.4472.106,Macintosh,1440x900,Real,Fake,Real,Fake,7,J9ezj6XGQNN4Ao_BWaWWEg**,1434680073
7/9/2021 9:54,7/9/2021 10:02,IP Address,100,448,TRUE,7/9/2021 10:02,R_9Y7xtLSeKkkUl6F,,,,,anonymous,EN,Yes,Edge,91.0.864.64,Windows NT 10.0,1366x768,Real,Fake,Fake,Real,7,J9ezj6XGQNP-D3NSQTQiBA**,1603659487
7/9/2021 9:59,7/9/2021 10:02,IP Address,100,191,TRUE,7/9/2021 10:02,R_U9IiEpHXABrknxD,,,,,anonymous,EN,Yes,Chrome,91.0.4472.124,Windows NT 10.0,1366x768,Fake,Fake,Real,Real,7,J9ezj6XGQNPUvceAd2Ld-w**,1595467006
