StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent,PID,Meta_Browser,Meta_Version,Meta_Operating System,Meta_Resolution,lt_medicare,sms_disability,lt_suspension,sms_redcross,attentionCheck
8/16/2021 20:38,8/16/2021 20:46,100,445,TRUE,8/16/2021 20:46,R_1rONpa8q22je9ZA,,,,,anonymous,EN,Yes,60ffbf91875b2c515d251452,Firefox,91,Windows NT 10.0,2560x1440,Real,Fake,Fake,Real,7
8/16/2021 21:08,8/16/2021 21:20,100,715,TRUE,8/16/2021 21:20,R_2wu9VgRhS5VoSH7,,,,,anonymous,EN,Yes,60fcdc59a8e5bae1d3b36c8c,Chrome,92.0.4515.131,Windows NT 10.0,1366x768,Real,Fake,Real,Real,7
8/16/2021 21:41,8/16/2021 21:53,100,698,TRUE,8/16/2021 21:53,R_10PNVlK4AsChIzo,,,,,anonymous,EN,Yes,60fe42680def0188655450f9,Chrome,92.0.4515.131,Windows NT 10.0,1536x864,Real,Fake,Fake,Real,7
8/16/2021 21:43,8/16/2021 21:48,100,273,TRUE,8/16/2021 21:48,R_3G2R3gXsAPIuHtd,,,,,anonymous,EN,Yes,60fbc53a81120344612e0d08,Chrome,92.0.4515.159,Windows NT 10.0,1920x1080,Real,Fake,Fake,Real,7
8/16/2021 23:41,8/16/2021 23:54,100,770,TRUE,8/16/2021 23:54,R_9TuxfQxNu1XtSZH,,,,,anonymous,EN,Yes,60fe3719c6319c6ca28d7e2e,Chrome,92.0.4515.159,Windows NT 10.0,1536x864,Real,Fake,Real,Fake,7
8/17/2021 0:03,8/17/2021 0:14,100,607,TRUE,8/17/2021 0:14,R_3oZu4JUY7SziJWO,,,,,anonymous,EN,Yes,60f9e8fbb8fff221ddba8460,Chrome,92.0.4515.131,Windows NT 10.0,1536x864,Fake,Fake,Fake,Fake,7
8/17/2021 4:12,8/17/2021 4:21,100,556,TRUE,8/17/2021 4:21,R_79sN0mUULsJR5wR,,,,,anonymous,EN,Yes,60fe30ff7cb19f2601f75d71,Chrome,92.0.4515.131,Windows NT 10.0,1368x912,Real,Real,Fake,Real,7
8/17/2021 7:59,8/17/2021 8:17,100,1048,TRUE,8/17/2021 8:17,R_2DT8Ouimq73AV3z,,,,,anonymous,EN,Yes,6100321b356651307f8de18f,Edge,92.0.902.73,Windows NT 10.0,1366x768,Real,Fake,Fake,Fake,7
8/17/2021 11:55,8/17/2021 12:06,100,663,TRUE,8/17/2021 12:06,R_12to3wROgXwT2q3,,,,,anonymous,EN,Yes,60ff37dea06f73a822437e00,Safari,14.1.2,Macintosh,1440x900,Real,Fake,Real,Real,7
8/17/2021 12:03,8/17/2021 12:04,54,31,FALSE,8/18/2021 12:04,R_9HQMoJDFGqaz50l,,,,,anonymous,EN,Yes,60f74d629edc41b4de32bc69,Chrome,92.0.4515.131,Macintosh,1440x900,,,,,
8/17/2021 13:09,8/17/2021 13:09,31,9,FALSE,8/18/2021 13:09,R_exM7hwEoccmNVtL,,,,,anonymous,EN,Yes,60fdea2e28cca71f84b2e4f1,Chrome,92.0.4515.131,Android 11,412x869,,,,,
8/17/2021 16:25,8/17/2021 16:31,100,330,TRUE,8/17/2021 16:31,R_2y0YwpAlKD8ZmfG,,,,,anonymous,EN,Yes,60ff636fabee7a98690794ad,Chrome,92.0.4515.107,Windows NT 10.0,1366x768,Real,Fake,Real,Real,7
8/17/2021 19:14,8/17/2021 19:24,100,654,TRUE,8/17/2021 19:24,R_2YJ6rEztgBcISBW,,,,,anonymous,EN,Yes,60ff43ec92e660515504e016,Chrome,92.0.4515.131,Macintosh,1440x900,Real,Fake,Fake,Real,7
8/17/2021 19:14,8/17/2021 19:27,100,814,TRUE,8/17/2021 19:27,R_1LNLssgrhGJWZb8,,,,,anonymous,EN,Yes,60fddb90c697cc74d30a887e,Chrome,92.0.4515.159,Macintosh,1440x900,Real,Fake,Real,Fake,7
8/17/2021 19:14,8/17/2021 19:19,100,336,TRUE,8/17/2021 19:19,R_1q4B6oaI5D7YKNk,,,,,anonymous,EN,Yes,610502e8ffb9d71ed8f85eaf,Chrome,92.0.4515.131,Macintosh,1440x900,Real,Fake,Fake,Real,7
8/17/2021 19:14,8/17/2021 19:17,100,166,TRUE,8/17/2021 19:17,R_2BgqgwVYXIv26Lx,,,,,anonymous,EN,Yes,60fdfd265d53f620ef2c3929,Chrome,92.0.4515.131,Macintosh,1680x1050,Fake,Fake,Fake,Real,7
8/17/2021 19:14,8/17/2021 19:26,100,700,TRUE,8/17/2021 19:26,R_2Va1t8r7xjYabmF,,,,,anonymous,EN,Yes,61008174621af4fde89d5c7f,Chrome,92.0.4515.107,Macintosh,1440x900,Real,Fake,Fake,Real,7
8/17/2021 19:14,8/17/2021 19:35,100,1247,TRUE,8/17/2021 19:35,R_1DpvkyU7pLfwgmt,,,,,anonymous,EN,Yes,60fcbda8909f2ef8e0afa8ca,Chrome,92.0.4515.131,Macintosh,1440x900,Fake,Fake,Fake,Real,7
8/17/2021 19:14,8/17/2021 19:30,100,964,TRUE,8/17/2021 19:30,R_2qDYUpILXeYKdww,,,,,anonymous,EN,Yes,60fc6db4a67fa6b983c5c77b,Chrome,92.0.4515.131,Windows NT 10.0,1280x720,Real,Fake,Fake,Real,7
8/17/2021 19:15,8/17/2021 19:21,100,364,TRUE,8/17/2021 19:21,R_27lGiiBtYrOhCbs,,,,,anonymous,EN,Yes,580cab86b869700001d71628,Chrome,92.0.4515.131,Macintosh,1920x1080,Real,Fake,Real,Fake,7
8/17/2021 19:15,8/17/2021 19:27,100,723,TRUE,8/17/2021 19:27,R_25SM8Ax2NAbKOsi,,,,,anonymous,EN,Yes,60ff1625b42450f6ecf0c901,Opera,78.0.4093.147,Windows NT 10.0,1280x720,Real,Fake,Real,Real,7
8/17/2021 19:15,8/17/2021 19:16,31,51,FALSE,8/18/2021 19:16,R_2TGgRfBT99CRHbC,,,,,anonymous,EN,Yes,5c926d2a0ae1ea00156f71a0,Chrome,91.0.4472.167,CrOS x86_64 13904.97.0,1366x768,,,,,
8/17/2021 19:15,8/17/2021 19:25,100,586,TRUE,8/17/2021 19:25,R_2flYhdP1RPFOPuq,,,,,anonymous,EN,Yes,60fd16eb910382e24b379950,Edge,92.0.902.73,Windows NT 10.0,1366x768,Real,Fake,Real,Fake,7
8/17/2021 19:15,8/17/2021 19:22,100,419,TRUE,8/17/2021 19:22,R_27ru6lpQDCnnQAo,,,,,anonymous,EN,Yes,61034cb10a0d1b04353c8a1e,Chrome,92.0.4515.131,Macintosh,1080x1920,Real,Fake,Fake,Fake,7
8/17/2021 19:15,8/17/2021 19:20,100,293,TRUE,8/17/2021 19:20,R_1db4Q9LQNWbjfLC,,,,,anonymous,EN,Yes,610713f7eeb92963429b5d7d,Chrome,92.0.4515.131,Windows NT 10.0,1366x768,Fake,Fake,Fake,Fake,7
8/17/2021 19:15,8/17/2021 19:34,100,1102,TRUE,8/17/2021 19:34,R_2RWWAIICkakwXnR,,,,,anonymous,EN,Yes,6103975ca7d27831aba29dfb,Chrome,92.0.4515.131,Windows NT 10.0,1536x864,Fake,Fake,Fake,Fake,7
8/17/2021 19:15,8/17/2021 19:16,31,21,FALSE,8/18/2021 19:16,R_1Dp2jF6Z9ypIuR7,,,,,anonymous,EN,Yes,5c5c8a688089970001788f30,Chrome,92.0.4515.131,Windows NT 10.0,1366x768,,,,,
8/17/2021 19:15,8/17/2021 19:27,100,681,TRUE,8/17/2021 19:27,R_3n5Xu2GLOCdZSwA,,,,,anonymous,EN,Yes,5e975ea254955d0bfe9f7929,Chrome,92.0.4515.130,CrOS x86_64 13982.69.0,1280x720,Real,Fake,Fake,Real,7
8/17/2021 19:15,8/17/2021 19:28,100,789,TRUE,8/17/2021 19:28,R_31d5zPlXO4TIKbA,,,,,anonymous,EN,Yes,5cb929bfebd17d0017e7f848,Chrome,92.0.4515.131,Macintosh,1440x900,Fake,Fake,Fake,Fake,7
8/17/2021 19:15,8/17/2021 19:23,100,463,TRUE,8/17/2021 19:23,R_4SZsL6LJwyyoUkp,,,,,anonymous,EN,Yes,60fcf0d2f2038f65598d7f03,Firefox,91,Windows NT 10.0,1280x720,Real,Fake,Fake,Real,7
8/17/2021 19:15,8/17/2021 19:16,15,16,FALSE,8/18/2021 19:16,R_3nc4vsmzClAIqLR,,,,,anonymous,EN,Yes,,,,,,,,,,
8/17/2021 19:16,8/17/2021 19:42,100,1600,TRUE,8/17/2021 19:42,R_2tg9L5cw2kBzVBk,,,,,anonymous,EN,Yes,60fcd90f33c61e860a94fc1b,Chrome,92.0.4515.131,Windows NT 10.0,1280x720,Real,Fake,Fake,Real,7
8/17/2021 19:16,8/17/2021 19:16,15,4,FALSE,8/18/2021 19:16,R_2P6yjdgDFMXYdbQ,,,,,anonymous,EN,Yes,,,,,,,,,,
8/17/2021 19:16,8/17/2021 19:31,100,889,TRUE,8/17/2021 19:31,R_32JdqvYkYII3R6O,,,,,anonymous,EN,Yes,5dcf6d762e4a050ac2cba07d,Firefox,91,Windows NT 10.0,1360x768,Fake,Fake,Fake,Real,7
8/17/2021 19:17,8/17/2021 19:21,100,255,TRUE,8/17/2021 19:21,R_RXr8C5ott4zj1LP,,,,,anonymous,EN,Yes,5fd63cb585f88c4eb1933661,Chrome,92.0.4515.159,Android 10,412x869,Fake,Fake,Fake,Fake,7
8/17/2021 19:17,8/17/2021 19:24,100,436,TRUE,8/17/2021 19:24,R_1DZQb24UudEX7cv,,,,,anonymous,EN,Yes,60ff14447c38fffbd9fd6554,Safari iPhone,14.1.2,iPhone,414x896,Real,Real,Fake,Real,7
8/17/2021 19:17,8/17/2021 19:28,100,656,TRUE,8/17/2021 19:28,R_ZLj0LpUmuaJf6jD,,,,,anonymous,EN,Yes,60fdda994df352f6ca4ca402,Chrome,92.0.4515.131,Windows NT 10.0,1536x864,Fake,Fake,Fake,Fake,7
8/17/2021 19:17,8/17/2021 19:26,100,541,TRUE,8/17/2021 19:26,R_269Gmd9B0S39VMA,,,,,anonymous,EN,Yes,5d4c7ac3e8ec490018b0050d,Chrome,92.0.4515.159,Windows NT 10.0,1920x1080,Real,Fake,Fake,Real,7
8/17/2021 19:18,8/17/2021 19:28,100,591,TRUE,8/17/2021 19:28,R_2Yup3hXirMv9IHN,,,,,anonymous,EN,Yes,559d9916fdf99b1e2b2dc6b8,Chrome,92.0.4515.131,Windows NT 10.0,1536x864,Real,Fake,Fake,Fake,7
8/17/2021 19:18,8/17/2021 19:26,100,488,TRUE,8/17/2021 19:26,R_0rhsB9nqrlEdKLv,,,,,anonymous,EN,Yes,60fefcc9e91e3f9d6d8c3e47,Safari iPhone,14.1.2,iPhone,414x896,Real,Fake,Real,Real,7
8/17/2021 19:19,8/17/2021 19:29,100,600,TRUE,8/17/2021 19:29,R_b8VvsdLG1hX4ZnX,,,,,anonymous,EN,Yes,60fcd73592278e93d40fd634,Safari iPhone,14.1.2,iPhone,414x896,Fake,Fake,Real,Real,7
8/17/2021 19:19,8/17/2021 19:30,100,643,TRUE,8/17/2021 19:30,R_2ScxjP8Pn2ibJQY,,,,,anonymous,EN,Yes,60fd60dd8e126219c0818d87,Chrome iPhone,92.0.4515.90,iPhone,390x844,Fake,Fake,Fake,Real,7
8/17/2021 19:20,8/17/2021 19:32,15,716,FALSE,8/18/2021 19:32,R_1QfrP5cCRxKeg4k,,,,,anonymous,EN,Yes,,,,,,,,,,
8/17/2021 19:21,8/17/2021 19:28,100,422,TRUE,8/17/2021 19:28,R_2CBsyVKdVPVuEFB,,,,,anonymous,EN,Yes,5eed1bae9e63ac127ac15a77,Firefox,91,Windows NT 10.0,1920x1080,Real,Fake,Fake,Real,7
8/17/2021 19:22,8/17/2021 19:43,100,1242,TRUE,8/17/2021 19:43,R_3pnbe33YC33mfjk,,,,,anonymous,EN,Yes,60fdbd0f06c0c59f1e37183d,Chrome,92.0.4515.131,Macintosh,1440x900,Fake,Fake,Fake,Fake,7
8/17/2021 19:22,8/17/2021 19:29,100,393,TRUE,8/17/2021 19:29,R_51kkm7ArViFsMz7,,,,,anonymous,EN,Yes,60fdb51512efb19804590ca9,Safari,13.0.4,Macintosh,768x1024,Fake,Fake,Real,Fake,7
8/17/2021 19:22,8/17/2021 19:23,31,22,FALSE,8/18/2021 19:23,R_28NBEIfbHPWTDtf,,,,,anonymous,EN,Yes,60ff5d7ffd2b84763e504d1d,Chrome,77.0.3865.73,Linux x86_64,360x800,,,,,
8/17/2021 19:22,8/17/2021 19:28,100,348,TRUE,8/17/2021 19:28,R_7TAP0NMiAOL6wqB,,,,,anonymous,EN,Yes,5f1393a3d005e83a02b5f0fa,Chrome,92.0.4515.159,Windows NT 10.0,1536x864,Fake,Fake,Fake,Real,7
8/17/2021 19:23,8/17/2021 19:31,100,458,TRUE,8/17/2021 19:31,R_1N2efeJLVc8qyzQ,,,,,anonymous,EN,Yes,60fde4c44dde3e3f346ac1db,Firefox,90,Windows NT 10.0,1366x768,Real,Fake,Real,Real,7
8/17/2021 19:24,8/17/2021 19:28,100,284,TRUE,8/17/2021 19:28,R_2cnhdhNlO7l5aqo,,,,,anonymous,EN,Yes,6105dcae34b2158864aa8621,Edge,92.0.902.73,Windows NT 10.0,1920x1080,Fake,Fake,Fake,Real,7
8/17/2021 19:24,8/17/2021 19:37,100,784,TRUE,8/17/2021 19:37,R_3hnI7eL4jfA2hUh,,,,,anonymous,EN,Yes,60f5d68c9b6838e7659f53af,Firefox,91,Windows NT 10.0,1536x864,Fake,Fake,Fake,Fake,7
8/17/2021 19:24,8/17/2021 19:36,100,692,TRUE,8/17/2021 19:36,R_2OVhK6RB1ugIeb8,,,,,anonymous,EN,Yes,5ae25791af72e0000127b8f7,Chrome,92.0.4515.159,Windows NT 10.0,1920x1080,Fake,Fake,Fake,Real,7
8/17/2021 19:24,8/17/2021 19:33,100,491,TRUE,8/17/2021 19:33,R_3HhJmFOfNushNkF,,,,,anonymous,EN,Yes,60ffc800eb1536003fffe6cb,Chrome,88.0.4324.152,Linux x86_64,360x800,Real,Fake,Fake,Real,7
8/17/2021 19:25,8/17/2021 19:37,100,702,TRUE,8/17/2021 19:37,R_3Moju8tQHYx5NID,,,,,anonymous,EN,Yes,60fd82c409b4baa52c9c1bf1,Chrome,92.0.4515.131,Windows NT 10.0,1366x768,Real,Fake,Fake,Real,7
8/17/2021 19:25,8/17/2021 19:36,100,605,TRUE,8/17/2021 19:36,R_2WvAX87m5qCWXVD,,,,,anonymous,EN,Yes,5c926d2a0ae1ea00156f71a0,Chrome,91.0.4472.167,CrOS x86_64 13904.97.0,1366x768,Real,Fake,Fake,Real,7
8/17/2021 19:26,8/17/2021 19:42,100,970,TRUE,8/17/2021 19:42,R_2uVXtCcyD5IEFl6,,,,,anonymous,EN,Yes,60fddae4f475a441f5127a57,Chrome,92.0.4515.131,Windows NT 10.0,1280x720,Fake,Fake,Fake,Fake,7
8/17/2021 19:27,8/17/2021 19:36,100,570,TRUE,8/17/2021 19:36,R_1IMI8XvIhh2hgkB,,,,,anonymous,EN,Yes,60ff5d7ffd2b84763e504d1d,Chrome,77.0.3865.73,Linux x86_64,360x800,Real,Fake,Fake,Real,7
8/17/2021 19:27,8/17/2021 19:53,31,1596,FALSE,8/18/2021 19:53,R_2YL1OI4AIEMrS7X,,,,,anonymous,EN,Yes,60fd8b3bfd37134f8e81b879,Firefox,91,Windows NT 10.0,1366x768,,,,,
8/17/2021 19:28,8/17/2021 19:33,100,316,TRUE,8/17/2021 19:33,R_BVvF6owMnUHjDwZ,,,,,anonymous,EN,Yes,60fcc085e84772374cdbb26d,Safari iPhone,14.1.2,iPhone,428x926,Real,Fake,Fake,Real,7
8/17/2021 19:29,8/17/2021 19:29,31,49,FALSE,8/18/2021 19:29,R_2fGVNh06R2OzeZF,,,,,anonymous,EN,Yes,6109b45f7cf3658ba670f458,Safari,14.1,Macintosh,810x1080,,,,,
8/17/2021 19:29,8/17/2021 19:38,100,560,TRUE,8/17/2021 19:38,R_1GCy0oABDimqNho,,,,,anonymous,EN,Yes,610345ddbc60f81a1b4ef749,Chrome,92.0.4515.131,Macintosh,1280x800,Fake,Fake,Fake,Fake,7
8/17/2021 19:30,8/17/2021 19:49,100,1123,TRUE,8/17/2021 19:49,R_1CECrxHyUsivVEs,,,,,anonymous,EN,Yes,60de9c66c01a9de405e9efb0,Firefox,91,Windows NT 10.0,1093x614,Fake,Fake,Fake,Fake,7
8/17/2021 19:31,8/17/2021 19:47,100,922,TRUE,8/17/2021 19:47,R_3qeYN44XARUqb4V,,,,,anonymous,EN,Yes,60c76fb5887b0728245b0695,Chrome,92.0.4515.131,Macintosh,1440x900,Fake,Fake,Fake,Real,7
8/17/2021 19:32,8/17/2021 19:39,100,432,TRUE,8/17/2021 19:39,R_1C9ZFL73mIKZfW3,,,,,anonymous,EN,Yes,60fddca29baf9a3476eaaf84,Chrome,92.0.4515.131,Windows NT 10.0,1920x1080,Fake,Fake,Fake,Fake,7
8/17/2021 19:33,8/17/2021 19:41,100,465,TRUE,8/17/2021 19:41,R_2QS6SFBn4zvHE88,,,,,anonymous,EN,Yes,61000a4542e787f58e309030,Safari,14.1.2,Macintosh,1440x900,Real,Fake,Real,Real,7
8/17/2021 19:34,8/17/2021 19:44,100,643,TRUE,8/17/2021 19:44,R_1DG6dv5xefC13wZ,,,,,anonymous,EN,Yes,60ff9a9aad04eb7ef6cae70a,Chrome,92.0.4515.107,Macintosh,1440x900,Real,Fake,Real,Fake,7
8/17/2021 19:35,8/17/2021 19:40,100,324,TRUE,8/17/2021 19:40,R_3dXNDQt2URBPUV6,,,,,anonymous,EN,Yes,60fefeb13d857a4287c5d89a,Safari iPhone,14.1.2,iPhone,414x896,Real,Fake,Fake,Fake,7
8/17/2021 19:39,8/17/2021 19:49,100,590,TRUE,8/17/2021 19:49,R_2CNuG8Ip4RRFgRN,,,,,anonymous,EN,Yes,61005f6e61455d6e5298b8a4,Safari,14.1.1,Macintosh,1440x900,Real,Fake,Fake,Real,7
8/17/2021 19:41,8/17/2021 19:51,100,566,TRUE,8/17/2021 19:51,R_z1oVF95GIwGt7zz,,,,,anonymous,EN,Yes,61036fc94bfa9aefa41787bc,Chrome,92.0.4515.131,Windows NT 10.0,1368x912,Real,Fake,Real,Real,7
8/17/2021 19:42,8/17/2021 19:49,92,417,FALSE,8/18/2021 19:49,R_1d6J57Qvmix3Q9T,,,,,anonymous,EN,Yes,60fdd69df07af0302d9ce2de,Chrome,92.0.4515.131,Windows NT 10.0,1280x720,Real,Fake,Fake,Fake,7
8/17/2021 19:43,8/17/2021 19:49,100,331,TRUE,8/17/2021 19:49,R_6XB8pJYKUD1THq1,,,,,anonymous,EN,Yes,5c5c8a688089970001788f30,Chrome,92.0.4515.131,Windows NT 10.0,1366x768,Real,Fake,Fake,Real,7
8/17/2021 19:43,8/17/2021 19:47,100,213,TRUE,8/17/2021 19:47,R_1Cy9SxAhJQfvQcl,,,,,anonymous,EN,Yes,60fcd2e26a72c518d0b60738,Chrome,87.0.4280.88,Macintosh,1920x1080,Fake,Fake,Fake,Real,7
8/17/2021 19:43,8/17/2021 19:54,100,620,TRUE,8/17/2021 19:54,R_1kTeqLunGPw2wh9,,,,,anonymous,EN,Yes,6106b2e61381783a60b26d81,Chrome,92.0.4515.159,Macintosh,1440x900,Real,Fake,Fake,Fake,7
8/17/2021 19:45,8/17/2021 19:50,100,274,TRUE,8/17/2021 19:50,R_sZRS29tR6W2JOOl,,,,,anonymous,EN,Yes,60fd575984acfa842be0f354,Chrome,92.0.4515.159,Windows NT 10.0,1366x768,Real,Fake,Fake,Real,7
8/17/2021 19:47,8/17/2021 19:53,100,340,TRUE,8/17/2021 19:53,R_27UKAQgQjGsQSI6,,,,,anonymous,EN,Yes,60fd85c4c161e02f562b543a,Chrome,92.0.4515.131,Windows NT 10.0,1536x960,Real,Fake,Fake,Real,7
8/17/2021 19:48,8/17/2021 19:57,100,533,TRUE,8/17/2021 19:57,R_6swnktnvyvzTse5,,,,,anonymous,EN,Yes,6102e4f5caf1aed4d071c696,Chrome,91.0.4472.81,CrOS x86_64 13904.41.0,1536x864,Fake,Fake,Fake,Fake,7
8/17/2021 19:50,8/17/2021 19:57,100,422,TRUE,8/17/2021 19:57,R_10UUufsBoIBLPXM,,,,,anonymous,EN,Yes,5c0fcccc1f6f150001487111,Safari iPhone,14.1.2,iPhone,414x896,Fake,Fake,Fake,Real,7
8/17/2021 19:50,8/17/2021 20:00,100,566,TRUE,8/17/2021 20:00,R_3egV69VAgfU3ruo,,,,,anonymous,EN,Yes,60ffcb68a322940c7721b423,Chrome,92.0.4515.131,Macintosh,1440x900,Real,Fake,Fake,Real,7
8/17/2021 19:51,8/17/2021 20:08,100,1010,TRUE,8/17/2021 20:08,R_1QygvsYGsbb1CU1,,,,,anonymous,EN,Yes,5806ceacf0740c00017892c8,Edge,92.0.902.73,Windows NT 10.0,1366x768,Fake,Fake,Fake,Fake,7
8/17/2021 19:52,8/17/2021 20:07,100,908,TRUE,8/17/2021 20:07,R_1q980ovk4dmawwZ,,,,,anonymous,EN,Yes,608437f0b139060610c9f0c1,Chrome,92.0.4515.131,Windows NT 10.0,1280x720,Fake,Fake,Fake,Real,7
8/17/2021 19:52,8/17/2021 20:02,100,553,TRUE,8/17/2021 20:02,R_1mCoCdJnFWfCQ85,,,,,anonymous,EN,Yes,6100311f8a021fefacc7ed4d,Chrome,92.0.4515.107,Windows NT 10.0,1280x720,Real,Fake,Fake,Real,7
8/17/2021 19:53,8/17/2021 20:00,100,412,TRUE,8/17/2021 20:00,R_2AG5uov1xO8pf6S,,,,,anonymous,EN,Yes,610767a330abc8ceb5ac1965,Chrome,92.0.4515.131,Windows NT 10.0,1920x1080,Fake,Fake,Fake,Real,7
8/17/2021 19:54,8/17/2021 20:03,100,498,TRUE,8/17/2021 20:03,R_12DxKhbS1GzbnE0,,,,,anonymous,EN,Yes,60fccbb73c51e6d3af5fca5c,Edge,92.0.902.67,Windows NT 10.0,1366x768,Fake,Fake,Fake,Real,7
8/17/2021 19:57,8/17/2021 20:19,100,1363,TRUE,8/17/2021 20:19,R_11dyHKXy6JgrmSd,,,,,anonymous,EN,Yes,5d63275f9b22da000117b107,Edge,92.0.902.73,Windows NT 10.0,1536x960,Fake,Fake,Fake,Real,7
8/17/2021 19:57,8/17/2021 20:09,100,696,TRUE,8/17/2021 20:09,R_3iQ48HiWKmBIZUI,,,,,anonymous,EN,Yes,61004b542c80cc7e7e441d7b,Chrome,92.0.4515.131,Windows NT 6.3,1366x768,Real,Fake,Fake,Real,7
8/17/2021 19:58,8/17/2021 20:08,100,609,TRUE,8/17/2021 20:08,R_szN7HIHBCTh9ENb,,,,,anonymous,EN,Yes,60a717d4240ef9af015a6258,Safari,14.0.2,Macintosh,768x1024,Real,Fake,Real,Real,7
8/17/2021 19:59,8/17/2021 20:13,100,846,TRUE,8/17/2021 20:13,R_1i51Xi3bOMF6Fdu,,,,,anonymous,EN,Yes,60fcc8b693dec70632a8e333,Chrome,92.0.4515.131,Windows NT 6.3,1366x768,Fake,Fake,Fake,Real,7
8/17/2021 19:59,8/17/2021 20:04,100,302,TRUE,8/17/2021 20:04,R_1eXlWkyii3uSf2e,,,,,anonymous,EN,Yes,60feab9554d7b0e12061eae9,Chrome,92.0.4515.131,Macintosh,1280x800,Real,Fake,Fake,Real,7
8/17/2021 20:04,8/17/2021 20:12,100,468,TRUE,8/17/2021 20:12,R_1DTFFwP4zqhDAND,,,,,anonymous,EN,Yes,610925067b0ea968105a1b72,Chrome,91.0.4472.114,Macintosh,1440x900,Real,Fake,Fake,Real,7
8/17/2021 20:05,8/17/2021 20:12,100,419,TRUE,8/17/2021 20:12,R_2YgeDw98PCz8K1U,,,,,anonymous,EN,Yes,60ffef81dfdb4a31c8b546cc,Safari,14.1.2,Macintosh,834x1112,Real,Fake,Fake,Real,7
8/17/2021 20:07,8/17/2021 20:20,100,771,TRUE,8/17/2021 20:20,R_1JCkv9WkjZXLlwK,,,,,anonymous,EN,Yes,610036375afd3ab1afe073e7,Chrome,92.0.4515.131,Macintosh,1280x800,Real,Fake,Fake,Fake,7
8/17/2021 20:08,8/17/2021 20:20,100,698,TRUE,8/17/2021 20:20,R_w7zogn5JVSUYURr,,,,,anonymous,EN,Yes,60e4c09a4b30f16f5a1053e7,Edge,92.0.902.73,Windows NT 10.0,1920x1080,Fake,Fake,Real,Fake,7
8/17/2021 20:09,8/17/2021 20:17,100,521,TRUE,8/17/2021 20:17,R_2OYWBN1Wq1d3TQD,,,,,anonymous,EN,Yes,60f43c3a0fd9723feba1af38,Safari,14.1.2,Macintosh,768x1024,Fake,Fake,Fake,Fake,7
8/17/2021 20:11,8/17/2021 20:17,100,385,TRUE,8/17/2021 20:17,R_3CSYCUeK0AcUN7f,,,,,anonymous,EN,Yes,6100a74ae8d1a03acbaf8a0e,Chrome,92.0.4515.131,Windows NT 10.0,1536x864,Real,Fake,Fake,Fake,7
